OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
11393,108A,MULTI STOREY CAR PARK,511108,PASIR RIS STREET 12,1.367972285711833,103.95701653457962
11394,895D,MULTI STOREY CAR PARK,733895,WOODLANDS DRIVE 50,1.4360676909074412,103.79224502729934
11395,525A,MULTI STOREY CAR PARK,671525,JELAPANG ROAD,1.3863159100897624,103.76536841561075
11396,154A,,651154,BUKIT BATOK WEST AVENUE 8,1.347371131953941,103.74369778135733
11397,644A,,651644,BUKIT BATOK CENTRAL,1.3486336717607794,103.75139121796138
11398,644A,MULTI STOREY CAR PARK,731644,WOODLANDS RING ROAD,1.4373690382373794,103.80114339094594
11399,649A,MULTI STOREY CAR PARK,731649,WOODLANDS RING ROAD,1.4385594714493506,103.80022850871966
11400,608A,MULTI STOREY CAR PARK,731608,WOODLANDS RING ROAD,1.436091711290468,103.79716660442737
11401,316A,MULTI STOREY CAR PARK,521316,TAMPINES STREET 33,1.3516228147028957,103.95720625676354
11402,105,MULTI STOREY CAR PARK,820105,EDGEFIELD PLAINS,1.3972287153884713,103.90559054281303
11403,107,,820107,PUNGGOL FIELD,1.3969338916195988,103.90770641161578
11404,109,,820109,PUNGGOL FIELD,1.395437453379555,103.90953207266647
11405,510,HDB-WOODLANDS,730510,WOODLANDS DRIVE 14,1.4327603463921013,103.78849681221857
11406,589,HDB-WOODLANDS,730589,WOODLANDS DRIVE 16,1.427744744592934,103.79512714301808
11407,17A,,311017,LORONG 7 TOA PAYOH,1.3361514332553575,103.85698278364433
11408,19,KIM KEAT PALM,310019,LORONG 7 TOA PAYOH,1.3355077344903914,103.85643404629698
11409,39,UPPER BOON KENG RIVERVIEW,380039,UPPER BOON KENG ROAD,1.3187229155428404,103.87422619577565
11410,19,HDB-KALLANG/WHAMPOA,380019,UPPER BOON KENG ROAD,1.315065983937339,103.87356935083396
11411,38,UPPER BOON KENG RIVERVIEW,380038,UPPER BOON KENG ROAD,1.3180401457754722,103.87422249518448
11412,103A,EASTCREEK @ CANBERRA,751103,CANBERRA STREET,1.4510293937113887,103.83053367658438
11413,586A,MULTI STOREY CAR PARK,731586,WOODLANDS DRIVE 16,1.4291886402697809,103.79467106537676
